"","STUDY_ID","REVIEWERS","INCLUDE","AUTHORS","TITLE","JOURNAL","ABSTRACT","YEAR","VOLUME","LPAGES","UPAGES","DOI","MORTALITY_SURVIVAL_ORGANISM_VIABILITY","LD50_WITH_CI_AVAILABLE","DATA_REQUEST_REQUIRED","OTHER_ENDPOINTS_STUDIED","COMMENTS"
"407","wos159","Guy","YES","Silva, CDE; de Rooij, W; Verweij, RA; van Gestel, CAM","toxicity in neonicotinoids to folsima candida and eisenia andrei","ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY","We compared the toxicity of the neonicotinoids imidacloprid, thiacloprid, thiamethoxam, acetamiprid, and clothianidin in terms of the survival and reproduction of 2 species of soil invertebrates, Folsomia candida and Eisenia andrei. Tests were performed using LUFA 2.2 natural soil, following standard protocols aimed at answering 2 questions: 1) Is there a difference in the toxicity between pure compound and its formulation? and 2) Is there a difference in the sensitivity of the species exposed to the same compound? For E. andrei, formulations and pure compounds had similar toxicity to both endpoints tested. For F. candida, acetamiprid and imidacloprid had different toxicities, with acetamiprid being 4 times more toxic to survival (median lethal concentration [LC50] 0.12 mg active substance [a.s.]/kg dry soil) and imidacloprid being 4 times more toxic to reproduction of the springtail (median effect concentration [EC50] 0.25 mg a.s./kg dry soil) than their commercial formulations. The most toxic compound to E. andrei was acetamiprid (LC50 0.80 and EC50 0.35-0.40 mg a.s./kg), and the most toxic to F. candida was clothianidin (LC50 0.07 and EC50 0.05 mg a.s./kg). Estimated risk ratios indicated that only one application/yr of clothianidin in the formulation Poncho (R) may pose a threat to the populations of springtails and earthworms. Environ Toxicol Chem 2020;39:548-555. (c) 2019 The Authors. Environmental Toxicology and Chemistry published by Wiley Periodicals, Inc. on behalf of SETAC.",2020,"39","548","555","http://dx.doi.org/10.1002/etc.4634","YES","YES","NO","REPRODUCTION","n/a"
"409","scopus3651","Guy","YES","Skelley J.R.","toxicity of 2‐sec‐butyl‐46‐dinitrophenol (dinoseb) and monosodium methanearsonate (msma) individually and in a mixture to channel catfish (ictalurus punctatus) and fathead minnows (pimephales promelas)","Environmental Toxicology and Chemistry","The toxicity of technical‐grade dinoseb, technical monosodium methanearsonate (MSMA), several formulations of each and a mixture of the two were tested using channel catfish (Ictalurus punctatus Rafinesque) and fathead minnows (Pimephales promelas Rafinesque) under standard conditions at 12°C in soft, reconstituted water. The 96‐h LC50s for technical dinoseb were 0.058 mg/L for channel catfish and 0.088 mg/L for fathead minnows. Differences among Vertac General®, Vertac Selective®, Premerge 3®, Gebutox® and technical dinoseb did not affect dinoseb toxicity to either fish species. The 96‐h LC50s for technical MSMA were 2,390 mg/L for channel catfish and 1,210 mg/L for fathead minnows. Formulation had a measurable effect on MSMA toxicity, with the Daconate® and Daconate 6® formulations nearly an order of magnitude more toxic than technical MSMA and Bueno 6® to both fish species. The mixture or joint toxicity of technical dinoseb and technical MSMA was greater than additive (synergistic), with additive toxicity indices for channel catfish and fathead minnows of 0.51 and 5.78, respectively. Copyright © 1989 SETAC",1989,"8","623","628","10.1002/etc.5620080709","YES","YES","NO","n/a","n/a"
"410","scopus1290","Guy","YES","Green R.M.; Abdelghani A.A.","toxicity of a mixture of 24 dichlorophenoxyacetic acid and monosoduim methanearsonate to the red swamp crawfish procambarus clarkii.","International journal of environmental research and public health","2,4-dichlorophenoxyacetic acid and monosodium methanearsonate are often sold in commercial herbicide mixtures. Toxicity studies have been performed for each herbicide individually, but there is a dearth of information concerning the toxicity of these herbicides in a mixture. The following study examined the toxicity of a mixture of these two herbicides in the red swamp crawfish, Procambarus clarkii. 96-hour acute toxicity assays were performed to determine whether surfactant significantly altered the toxicity of these herbicides individually or in combination. Markings additive index was calculated to identify the interactions of the herbicide mixture. Surfactant was observed to significantly increase the toxicity of 2,4-dichlorophenoxyacetic acid and the toxicity of the herbicide mixture. The herbicide mixture alone displayed half the toxicity of the individual herbicides, but the mixture with surfactant was twice as toxic as the individual herbicides. The synergistic action of surfactant may be attributed to increased pesticide absorption across biological membranes. 2,4-dichlorophenoxyacetic acid and surfactant may also compromise gill function, increasing the sensitivity of the crawfish to herbicide toxicity. The antagonistic effects of the herbicide mixture in the absence of surfactant may be caused by competition of both herbicides for the same sites of activity.",2004,"1","35","38","10.3390/ijerph2004010035","YES","YES","NO","n/a","n/a"
"412","scopus2838","Guy","YES","Hill E.F.; Camardese M.B.","toxicity of anticholinesterase insecticides to birds: technical grade versus granular formulations","Ecotoxicology and Environmental Safety","The acute toxicities of 13 granular anticholinesterase insecticides were compared with their technical grade active ingredients by administering single oral doses of chemical to adult Northern bobwhites (Colinus virginianus) and evaluating resultant LD50 values and doseresponse curves. Similar tests with ringed turtledoves (Streptopelia risoria) were conducted with five of the granular formulations to check for interspecific differences. The test chemicals were Amaze 15G (isofenphos), Counter 15G (terbufos), Dasanit 15G (fensulfothion), Diazinon 14G (diazinon), Di-Syston 15G (disulfoton), Dyfonate 20G (fonofos), Furadan 10G (carbofuran), Lorsban 15G (chlorpyrifos), Nemacur 15G (fenamiphos), Parathion 10G (parathion), Tattoo 10G (bendiocarb), Temik 15G (aldicarb), and Thimet 15G (phorate). Information is also presented on dose-response relations and their use in hazard assessment, granule size and hazard, response patterns, and toxic signs. The general conclusions were: (1) The organophosphates (fenamiphos and fensulfothion) and the carbamate (aldicarb) were the most toxic of the insecticides tested. (2) The granular formulation and its technical grade active ingredient were of equivalent toxicity, or the granular was significantly less toxic. (3) The dose-response curve enhances hazard assessment. (4) Ingestion of a single granule of Temik 15G was shown to be life threatening to bobwhite-sized birds, and ingestion of fewer than five granules could be lethal to sparrow-sized birds for Dasanit 15G, Diazinon 14G, Dyfonate 20G, Furadan 15G, and Nemacur 15G. (5) It is therefore suggested that the hazard associated with granular insecticides may be more dependent on which species (cf. size and feeding behavior) inhabit a treated area than on the actual application rate. © 1984.",1984,"8","551","563","10.1016/0147-6513(84)90015-0","YES","YES","NO","n/a","n/a"
"414","wos2085","Guy","YES","Stark, JD; Qiao, M; Banks, JE","toxicity of chlorantraniliprole and it's formulated product altacor (r) to individuals and populations of ceriodaphnia dubia richard","BULLETIN OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY","The toxicity of the insecticide chlorantraniliprole and its formulated product Altacor(R) was determined for the Cladoceran, Ceriodaphnia dubia Richard. Acute toxicity (48 h) and 21 d population studies were conducted. The hypothesis of this study was that these two compounds would have different toxicities. We conducted acute and chronic toxicity studies for each compound and compared the results to test this hypothesis. 48 h LC50s (95% CL) for chlorantraniliprole and Altacor(R) were 8.5 (6.6-11.5) and 6.0 (3.7-9.0) mu g chlorantraniliprole/L water, respectively. Therefore, chlorantraniliprole and Altacor(R) were equitoxic to C. dubia at LC50 based on overlap of the 95% CL. In the population study, chlorantraniliprole and Altacor(R) concentrations equivalent to the acute LC5, 10, 25, and 50 for each product were evaluated on populations of C. dubia. Number of individuals after 21 d was the endpoint evaluated. T-tests conducted at each LC value indicated that there was no significant difference in population size between these two products at each LC value evaluated. Previous studies show that toxicity can vary greatly between formulated and technical grade pesticides. However, our results show that chlorantraniliprole and its formulated product, Altacor(R) were equally toxic to C. dubia. Therefore, making assumptions about the toxicity of formulated and unformulated products is ill advised.",2022,"109","996","1000","http://dx.doi.org/10.1007/s00128-022-03614-3","YES","YES","NO","n/a","n/a"
"415","wos937","Guy","YES","De Silva, PMCS; Pathiratne, A; van Gestel, CAM","toxicity of chlorpyrifos carbofuran mancozeb and their formulations to the tropical earthworm perionyx excavatus","APPLIED SOIL ECOLOGY","Effects of chlorpyrifos, carbofuran, mancozeb and their formulated products on survival, growth and reproduction of the tropical earthworm Perionyx excavatus were investigated in standard artificial soil. The toxicity of the three chemicals decreased in the order carbofuran > chlorpyrifos > mancozeb. In general, formulations were more toxic than the active ingredients, but differences in LC50 and ECx values were significant only in two cases and not more than a factor of 2.0. This could mainly be due to masking of the effects of additives in the soil. Comparison with available survival data revealed that A excavatus is more sensitive than the standard test species Eisenia andrei or E. fetida. The use of tropical species in the risk assessment of pesticides in tropical regions should therefore be encouraged. Crown Copyright (C) 2009 Published by Elsevier B.V. All rights reserved.",2010,"44","56","60","http://dx.doi.org/10.1016/j.apsoil.2009.09.005","YES","YES","NO","REPRODUCTION","n/a"
"416","wos848","Guy","YES","Stevanovic, M; Gasic, S; Pipal, M; Blahova, L; Brkic, D; Neskovic, N; Hilscherova, K","toxicity of clomazone and its formulations to zebrafish embryos (danio rerio)","AQUATIC TOXICOLOGY","Herbicides are the most widely used group of pesticides but after reaching water bodies they are able to cause adverse effects on non-target organisms. Different formulations using the same active ingredient are frequently available, which raises the issue of potential influence of different formulation types on herbicide toxicity. The present study evaluated the toxicity and teratogenic effects of the active ingredient clomazone and its two formulations (Rampe (R) EC and GAT Cenit 36 CS, both containing 360 g a.i./l of clomazone) on zebrafish embryos. The crucial difference between the two formulation types is the way of active substance release. This investigation is the first report on zebrafish embryotoxicity of both clomazone and its formulations. The technical active ingredient and formulations caused mortality and diverse teratogenic effects, showing different levels of toxicity. The LC50 values for the technical ingredient, Rampa (R) EC and GAT Cenit 36 CS were 61.4, 9.6 and 92.5 mg a.i./l, respectively. Spontaneous movements in 22 hpf embryos decreased under exposure to both the technical ingredient and formulations. A significant number of underdeveloped embryos was detected after exposure to clomazone and Rampe EC, while no underdevelopment was noted in embryos exposed to GAT Cenit 36 CS. Exposure to the technical ingredient and formulations led also to a series of morphological changes and interfered with the growth of zebrafish embryos. The EC50 based on detection of edemas, spine and tail tip deformations and gas bladder absence (120 hpf) was 12.1, 10.1 and 24.1 mg/l for technical clomazone, Rampe EC and GAT Cenit 36 CS, while teratogenicity index (TI) based on LC50/EC50 ratio was 5.1, 1 and 3.8, respectively. The data in this study showed that the emulsifiable concentrate formulation (Rampa. EC) caused statistically significantly higher toxicity, and the aqueous capsule suspension (GAT Cenit 36 CS) lower toxicity than technical clomazone. It indicates that different formulations with the same active ingredient may have different environmental impacts, which is why risk assessment based only on active ingredient toxicity might not be sufficient in terms of preventing formulation effects on the environment.",2017,"188","54","63","http://dx.doi.org/10.1016/j.aquatox.2017.04.007","YES","YES","NO","EMBRYOTOXICITY/REPRODUCTION","n/a"
"417","wos858","Guy","YES","Amara, A; Quiniou, F; Durand, G; El Bour, M; Boudabous, A; Hourmant, A","toxicity of epoxiconazole to the marine diatom chaetoceros calcitrans: influence of growth conditions and algal development stage","WATER AIR AND SOIL POLLUTION","The triazole fungicide epoxiconazole is extensively used to control fungi on crops and may present some potential risk from runoff on coastal ecosystems located close to agricultural areas. Phytotoxicity assessments were conducted on the marine diatom Chaetoceros calcitrans using both the active ingredient and its formulated product (Opus). The 3-day EC50 using cell count was 2.31 mg/L for epoxiconazole active ingredient and 2.9 mu g/L for epoxiconazole-formulated. The fungicide produced an increase of cellular volume, pigment (chlorophylls a, c, and carotenoids) content, ATP synthesis, and rates of photosynthesis and respiration. Progressive algal cell recovery from epoxiconazole effects occurred after 3 days, with the increasing cell density. Differences in cell age, light, and nutrient composition induced changes in epoxiconazole sensitivity. Since these parameters affect cellular division rates, the cellular density is an important parameter in toxicity tests.",2013,"224",NA,NA,"http://dx.doi.org/10.1007/s11270-012-1417-9","YES","YES","NO","PHOTOSYNTHESIS/RESPIRATION","n/a"
"420","wos303","Guy","YES","Kovacevic, M; Stjepanovic, N; Hackenberger, DK; Loncaric, Z; Hackenberger, BK","toxicity of fungicide azoxystrobin to enchytraeus albidus: differences between the active ingredient and formulated product","PESTICIDE BIOCHEMISTRY AND PHYSIOLOGY","Due to the often-excessive usage of fungicides, increasing attention is being paid to their impact on soil and nontarget organisms. Risk assessments are usually based on the pure active ingredient and not on the formulated products applied in the environment. The aim of this study was therefore to investigate how azoxystrobin, the best-selling strobilurin fungicide, affects non-target soil organisms Enchytraeus albidus. To investigate the effects of the different types of azoxystrobin, E. albidus was exposed to the pure active ingredient, AZO_AI, and the formulated product, AZO_FP. Survival, reproduction, and molecular biomarkers of E. albidus were determined for different exposure durations (seven and 21 days). AZO_FP (LC50 = 15.3 mg(a.i.)/kg) showed a slightly stronger effect on survival than AZO_AI (LC50 = 16.8 mg(a.i.)/kg), yet the impact on reproduction was much stronger. Namely, while the tested concentrations of AZO_AI (EC50 >= 8 mg(a.i.)/kg) had almost no effect on reproduction, AZO_FP (EC50 = 2.9 mg(a.i.)/kg) significantly inhibited reproduction in a dose-dependent manner. Changes in enzyme activities (superoxide dismutase, catalase, glutathione-s-transferase) and malondialdehyde levels in both treatments indicated oxidative stress. Although AZO_FP had a stronger negative effect, the impact depended on the exposure time and the tested concentration. The higher toxicity of AZO_FP was a consequence of increased bioavailability and activity of the active ingredient due to the presence of adjuvants. Overall stronger adverse effects of AZO_FP suggest that the toxicity of azoxystrobin in the agricultural environment on the enchytraeid population may be underestimated. Furthermore, the results of this study highlighted the importance of comparing the toxicity of the active ingredient and the formulated product.",2022,"187",NA,NA,"http://dx.doi.org/10.1016/j.pestbp.2022.105198","YES","YES","NO","REPRODUCTION","n/a"
"422","scopus1462","Guy","YES","Howe C.M.; Berrill M.; Pauli B.D.; Helbing C.C.; Werry K.; Veldhoen N.","toxicity of glyphosate based pesticides to four north american frog species","Environmental Toxicology and Chemistry","Glyphosate-based herbicides are among the most widely used pesticides in the world. We compared the acute toxicity of the glyphosate end-use formulation Roundup Original® to four North American amphibian species (Rana clamitans, R. pipiens, R. sylvatica, and Bufo americanus) and the toxicity of glyphosate technical, the polyethoxylated tallowamine surfactant (POEA) commonly used in glyphosate-based herbicides, and five newer glyphosate formulations to R. clamitans. For R. clamitans, acute toxicity values in order of decreasing toxicity were POEA > Roundup Original > Roundup Transorb® > Glyfos AU®; no significant acute toxicity was observed with glyphosate technical material or the glyphosate formulations Roundup Biactive®, Touchdown®, or Glyfos BIO®. Comparisons between the four amphibian species showed that the toxicity of Roundup Original varied with species and developmental stage. Rana pipiens tadpoles chronically exposed to environmentally relevant concentrations of POEA or glyphosate formulations containing POEA showed decreased snout-vent length at metamorphosis and increased time to metamorphosis, tail damage, and gonadal abnormalities. These effects may be caused, in some part, by disruption of hormone signaling, because thyroid hormone receptor β mRNA transcript levels were elevated by exposure to formulations containing glyphosate and POEA. Taken together, the data suggest that surfactant composition must be considered in the evaluation of toxicity of glyphosate-based herbicides.",2004,"23","1928","1938","10.1897/03-71","YES","YES","NO","DEVELOPMENT","n/a"
"423","wos70","Guy","YES","SCHUYTEMA, GS; NEBEKER, AV; GRIFFIS, WL","toxicity of guthion(r) and guthion(r)2s to xenopus laevis embryos","ARCHIVES OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY","The development of Xenopus laevis (African clawed frog) embryos exposed to the pesticide Guthion(R) (technical grade) and Guthion(R) 2S (commercial formulation) was evaluated in modified Frog Embryo Teratogenesis Assay-Xenopus (FETAX) tests. The embryos were exposed to five or six increasing concentrations of pesticide in 10- and 100-ml exposure volumes of test solution for 96 h. Embryos exposed in 10-ml volumes of Guthion exhibited increased mortality, increased deformation, and decreased size as compared to those exposed in 100-ml volumes. LC50s for embryos exposed in the 10-ml Guthion tests ranged from 6.1 to 6.3 mg/L as compared to 10. 6 to 11.9 mg/L for those in the 100-ml tests. The percentage of deformities at 3 mg/L Guthion in test survivors in 10-ml tests ranged from 73 to 89%, while in the 100-ml tests less than 2% were deformed at the same concentration. Mean control embryo lengths at test completion were 8.2 and 10.6 mm, respectively, for 10- and 100-ml tests. The LC50 for embryos in 100 ml Guthion 2S was 1.6 mg/L active ingredient, indicating a much greater toxicity of the commercial formulation. NOAEL (No Observed Adverse Effect Level) values for Guthion and Guthion 2S ranged from 0.48 to 7.96 mg/L, depending upon basis (length, deformity, mortality) and pesticide formulation, and were many times greater than the existing water quality criterion of 0.01 mug/L.",1994,"27","250","255",NA,"YES","YES","NO","EMBRYOTOXICITY","n/a"
"424","scopus65","Guy","YES","Akram S.; Butt A.; Khan S.A.","toxicity of imidacloprid administered alone and in combination with heavy metal lead on silkworm bombyx mori (lepidoptera: bombycidae)","Pakistan Journal of Zoology","In this study, we evaluated the single and joint toxicities of insecticide imidacloprid (commercial formulation and technical grade) and heavy metal lead (Pb) against 2nd, 3rd, 4th and 5th instars of silkworm. For treatment, leaf-dipping method was used and toxicity calculated after 48h exposure to the treatment. Both chemicals showed high toxicity against all instars of silkworm. However, results indicated that imidacloprid was more toxic for silkworm larvae compared to lead. The acute toxicity of imidacloprid formulation (IMF), imidacloprid technical grade (IMT) and Pb showed positive correlation with the concentration and negative with the age of larvae. From second to fifth instars, LC50 values of IMF ranges from 0.72 to 2.96, IMT from 0.86 to 2.75 and Pb from 1.93 to 6.88 mg/L. The toxicity of binary mixture of IMF + Pb showed synergism against all instars of silkworm. While, binary mixture of IMT + Pb displayed synergism, additive, and antagonism and antagonism activity in silkworm larvae in silkworm larvae. The results of our study provide useful data for the assessment of ecological risk of the tested compounds (single or mixture) against different silkworm instars.  © 2023 by the authors.",2023,"55","165","171","10.17582/journal.pjz/20210623070602","YES","YES","NO","n/a","n/a"
"425","scopus78","Guy","YES","Cooney J.J.; Coughlan M.F.; Patching J.W.","toxicity of nuvan® and dichlorvos towards marine phytoplankton","Botanica Marina","The pesticide Nuvan® and its active component dichlorvos were examined for toxicity to photosynthetic CO2 fixation by natural assemblages of phytoplankton and by five unialgal cultures. Nuvan® was toxic to all organisms at concentrations which contained 1.0 ppm dichlorvos or higher. Aqueous stock solutions of Nuvan® stored at room temperature for more than 3 weeks retained their activity. Dichlorvos itself did not decrease photosynthetic activity. The toxicity of Nuvan® to these algae is either due to a degradation product of dichlorvos, to the carrier, to emulsifiers used in preparing the commercial formulation, or to a combination of such factors. © 1990, Walter de Gruyter. All rights reserved.",1990,"33","533","538","10.1515/botm.1990.33.6.533","YES","NO","YES","n/a","old paper looking at photosynthetic activity. Maybe could get EC50 with raw data."
"427","wos882","Guy","YES","Miko, Z; Hettyey, A","toxicity of poea containing glyphosate based herbicides to amphibians is mainly due to the surfactant not to the active ingredient","ECOTOXICOLOGY","Current international legislation regarding agrochemicals requires thorough toxicological testing mainly of the active ingredients. In a 96-h acute toxicity test we exposed Rana dalmatina and Bufo bufo tadpoles to either one of three concentrations of glyphosate, three concentrations of the surfactant (POEA), three concentrations of the two components together, or to non-contaminated water (control), and subsequently assessed mortality and body mass. To investigate whether simultaneous exposure to another stress factor influences effects of the contaminants, we performed tests both in the presence or absence of predator chemical cues. We found that the surfactant had significant harmful effects on tadpoles; survival was lowered by the highest concentration of the surfactant in case of R. dalmatina, while in B. bufo tadpoles it reduced survival already at medium concentrations. Body mass was significantly influenced by medium and high surfactant concentrations in both species. The presence of glyphosate did not have a significant effect by itself, but it slightly increased mortality in tadpoles exposed to medium concentrations of the surfactant in both species. The presence of chemical cues did not have an effect on the examined variables. Our study confirms that the toxicity of glyphosate-based herbicides is mainly due to the examined surfactant. Nonetheless, we found that glyphosate can enhance the harmful effect of the surfactant. These results stress that during the authorization process of new pesticide formulations, not only the active ingredients would need to be examined but the excipients should also be taken into account in an obligatory and systematic manner.",NA,NA,NA,NA,"http://dx.doi.org/10.1007/s10646-023-02626-x","YES","NO","YES","GROWTH","expressed everything in terms of POEA. Request raw data."
"428","scopus3664","Guy","YES","Holdway D.A.; Barry M.J.; Logan D.C.; Robertson D.; Young V.; Ahokas J.T.","toxicity of pulse exposed fenvalerate and esfenvalerate to larval australian crimson spotted rainbow fish (melanotaenia fluviatilis)","Aquatic Toxicology","The effects of pulse exposure with two synthetic pyrethroids, fenvalerate and esfenvalerate, on survival of larval Australian crimson-spotted rainbow fish (Melanotaenia fluviatilis) were studied. Fenvalerate and esfenvalerate were both highly toxic to larval rainbow fish with 1-h esfenvalerate pulse-exposure concentrations as low as 0.32 μg l-1, and 1-min fenvalerate pulse-exposure concentrations of 4.5 μg l-1, sufficient to cause significant mortality. Technical grades were significantly more toxic than emulsified grades of the pesticides. The 1-h pulse-exposure 96-h LC50's were 12.75, 30.25, 1.18, and 1.99 μg l-1 for technical fenvalerate, emulsified fenvalerate, technical esfenvalerate, and emulsified esfenvalerate, respectively. Emulsified fenvalerate and esfenvalerate were also extremely toxic to adult crimson-spotted rainbow fish. The 96-h continuous exposure LC50's for adult fish using 50% daily partial replacement were 14.58 and 6.24 μg l-1, respectively, comparable with results for holarctic species. Fenvalerate is a racemic mixture containing four optical isomers (2R, aR; 2R, aS; 2S, aR, 2S, aS), while esfenvalerate contains mainly the 2S isomers. Esfenvalerate contains approximately twice the quantity of 2S isomers as does fenvalerate on a weight basis. Pulse-exposure LC50's for esfenvalerate were 10 to 15 times lower than for fenvalerate, a much higher toxicity of esfenvalerate than the roughly two fold difference which would have been predicted solely on a weight basis. Thus the 2R isomers, which make up approximately 50% of the fenvalerate formulation and which previously were regarded as non-active, appear to have reduced the expected toxicity of fenvalerate relative to measured esfenvalerate toxicity, perhaps via the inhibition of sodium channel activation. There was a complex relationship between pesticide concentration and time to mortality. At low concentrations of pesticide, most mortality occurred within the first 24 h, while at higher concentrations, mortality continued for 96 h after exposure. This suggests that mortality within the first 24 h was due to direct physiological effects of the pesticide on the larvae, while subsequent mortality was primarily due to starvation of larvae unable to recover from the initial insult. Duration of exposure (0 to 120 min) to emulsified fenvalerate and esfenvalerate significantly affected the acute toxicity to larval rainbow fish. For esfenvalerate, there was a linear relationship between duration of exposure and acute toxicity, while for fenvalerate, exposures of longer than 20 min did not significantly increase 96-h mortality. © 1994.",1994,"28","169","187","10.1016/0166-445X(94)90032-9","YES","YES","NO","n/a","n/a"
"430","scopus3713","Guy","YES","Jarvinen A.W.; Tanner D.K.","toxicity of selected controlled release and corresponding unformulated technical grade pesticides to the fathead minnow pimephales promelas","Environmental Pollution. Series A, Ecological and Biological","Fathead minnows were exposed to three encapsulated slow-release pesticide formulations and three corresponding technical grade products used in their manufacture. Static 4-day LC50 values derived from aged stock solutions indicate increased toxicity with time for encapsulated methyl parathion, diazinon and their technical grades. The technical grades, however, were more toxic than the encapsulated. Encapsulated Dursban was less toxic with time, whereas toxicity remained similar with time for the technical grade. Flow-through 4-day LC50 values for methyl parathion, Penncap-M, Dursban, Dursban 10 CR and diazinon are 5·36, 6·91, 0·14, 0·12 and 6·9 mb litre-1, respectively. In general, long-term toxicity was similar for both pesticide forms. Growth (weight) was the most sensitive parameter measured in the 32-day embryo-larval tests, except for the Dursban 10 CR study where it was equally as sensitive as survival. Growth effects occrred at >0·31-<0·38, >0·38-<0·59, >0·0016-<0·0032, >0·0022-<0·0048, >0·050-<0·090 and .0·040-<0·076 mg litre-1 for methyl parathion, Penncap-M, Dursban, Dursban 10 CR, diazinon and Knox Out 2 FM, respectively. Water solubilities were slightly lower for the encapsulated compounds. Estimated half-lives were 18 days for methyl parathion and 15 days for Penncap-M; 41 days for Dursban and > 200 days for Dursban 10 CR and approximately 30 days for diaznom and > 230 days for Knox Out 2 FM. © 1982.",1982,"27","179","195","10.1016/0143-1471(82)90024-1","YES","YES","NO","GROWTH","n/a"
"431","scopus1069","Guy","YES","Folmar L.C.; Sanders H.O.; Julin A.M.","toxicity of the herbicide glyphosate and several of its formulations to fish and aquatic invertebrates","Archives of Environmental Contamination and Toxicology","Studies were initiated to determine the acute toxicity of technical grade glyphosate (MON0573), the isopropylamine salt of glyphosate (MON0139), the formulated herbicide Roundup® (MON02139), and the Roundup® surfactant (MON0818) to four aquatic invertebrates and four fishes: daphnids (Daphnia magna), scuds (Gammarus pseudolimnaeus), midge larvae (Chironomous plumosus), mayfly nymphs (Ephemerella walkeri), Rainbow trout (Salmo gairdneri), fathead minnows (Pimephales promelas), channel catfish (Ictalurus punctatus), and bluegills (Lepomis macrochirus). Acute toxicities for Roundup ranged from 2.3 mg/L (96-h LC50, fathead minnow) to 43 mg/L (48-h EC50, mature scuds). Toxicities of the surfactant were similar to those of the Roundup formulation. Technical glyphosate was considerably less toxic than Roundup or the surfactant; for midge larvae, the 48-h EC50 was 55 mg/L and for rainbow trout, the 96-h LC50 was 140 mg/L. Roundup was more toxic to rainbow trout and bluegills at the higher test temperatures, and at pH 7.5 than at pH 6.5. Toxicity did not increase at pH 8.5 or 9.5. Eyed eggs were the least sensitive life stage, but toxicity increased markedly as the fish entered the sac fry and early swim-up stages. No changes in fecundity or gonadosomatic index were observed in adult rainbow trout treated with the isopropylamine salt or Roundup up to 2.0 mg/L. The aging of Roundup test solutions for seven days did not reduce toxicity to midge larvae, rainbow trout or bluegills. In avoidance studies, rainbow trout did not avoid concentrations of the isopropylamine salt up to 10.0 mg/L; mayfly nymphs avoided 10.0 mg/L of Roundup, but not 1.0 mg/L. In a simulated field application, midge larvae avoided 2.0 mg/L of Roundup. Application of Roundup, at recommended rates, along ditchbank areas of irrigation canals should not adversely affect resident populations of fish or invertebrates. However, spring applications in lentic situations, where dissolved oxygen levels are low or temperatures are elevated, could be hazardous to young-of-the-year-fishes. © 1979 Springer-Verlag New York Inc.",1979,"8","269","278","10.1007/BF01056243","YES","YES","NO","FECUNDITY","n/a"
"433","nagyrefs30","Guy","YES","Key, P; Delorenzo, M; Gross, K; Chung, K; Clum, A","toxicity of the mosquito control pesticide scourge((r)) to adult and larval grass shrimp (palaemonetes pugio)","JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART B-PESTICIDES FOOD CONTAMINANTS AND AGRICULTURAL WASTES","This study investigated the toxicity of various concentrations of technical resmethrinand Scourges on adult and larval Palaemonetes pugio, a common grass shrimp species. Two types of tests were conducted for each of the resmethrin formulations using adult and larval grass shrimp life stages, a 96-h static renewal aqueous test without sediment, and a 24-h static nonrenewal aqueous test with sediment. For resmethrin, the 96-h aqueous LC50 value for adult shrimp was 0.53 mu g/L (95% confidence interval (CI): 0.46-0.60 mu g/L), and for larval shrimp was 0.35 mu g/L (95% CI: 0.28-0.42 mu g/L). In the presence of sediment, technical resmethrin produced a 24-h LC50 value for adult shrimp of 5.44 mu g/L (95% CI: 4.52-6.55 mu g/L), and for larval shrimp of 2.15 mu g/L (95% CI: 1.35-3.43 mu g/L). For Scourge((R)), the 96-h aqueous LC50 for adult shrimp was 2.08 mg/L (95% CI: 1.70-2.54 mu g/L), and for larval shrimp was 0.36 mu g/L (95% CI: 0.24-0.55 mu g/L). The 24-h sediment test yielded an LC50 value of 16.12 mu g/L (95% CI: 14.79-17.57 mu g/L) for adult shrimp, and 14.16 mu g/L (95% CI: 12.21-16.43 mu g/L) for larvae. Adjusted LC50 values to reflect the 18% resmethrin concentration in Scourge((R)) are 0.37 mu g/L (adult), 0.07 mu g/L (larvae) for the 96-h aqueous test, and 2.90 mu g/L (adult), 2.6 mu g/L (larvae) for the 24-h sediment test. Larval grass shrimp were more sensitive to technical resmethrin and Scourges than the adult life stage. The results also demonstrate that synergized resmethrin is more toxic to P. pugio than the nonsynergized form, and that the presence of sediment decreases the toxicity of both resmethrin and Scourges.",2005,"40","585","594","10.1081/PFC-200061552","YES","YES","NO","n/a","n/a"
"435","wos85","Guy","YES","Tilak, KS; Veeraiah, K; Thathaji, RB; Butchiram, MS","toxicity studies of butachlor to the freshwater fish channa punctata (bloch)","JOURNAL OF ENVIRONMENTAL BIOLOGY","The toxicity studies were conducted on the fish Channa punctata (Bloch) by employing static and continuous flow through systems, for the toxicant butachlor (technical grade(+)) and its commercial formulation* (machete 50% EC), The LC50 values are 297.89 ppb and 247,46 ppb for 24 hr and 48 hr in static for technical and 636.45 and 546.09 for machete. In continuous flow through the values are 270.05, 233.52 to the technical and 567.85 and 481.49 respectively for machete. The tissues show qualitative accumulation and were quantitatively analysed by gas liquid chromatography (GLC),",2007,"28","485","487",NA,"YES","YES","NO","n/a","n/a"
