STUDY_ID,REVIEWERS,INCLUDE,AUTHORS,TITLE,YEAR,JOURNAL,VOLUME,LPAGES,UPAGES,DOI,ABSTRACT
scopus2164,Guy,YES,Rovida C.; De Angelis I.; Lorenzetti S.,Alternative in Vitro methods to characterize the role of endocrine active substances (EASs) in hormone-targeted tissues,2013,Altex,30,253,255,10.14573/altex.2013.2.253,[No abstract available]
scopus2192,Guy,NO,Straw E.A.; Thompson L.J.; Leadbeater E.; Brown M.J.F.,"Inert ingredients are understudied, potentially dangerous to bees and deserve more research attention",2022,Proceedings of the Royal Society B: Biological Sciences,289,,,10.1098/rspb.2021.2353,"Agrochemical formulations are composed of two broad groups of chemicals: active ingredients, which confer pest control action, and 'inert' ingredients, which facilitate the action of the active ingredient. Most research into the effects of agrochemicals focusses on the effects of active ingredients. This reflects the assumption that 'inert' ingredients are non-toxic. A review of relevant research shows that for bees, this assumption is without empirical foundation. After conducting a systematic literature search, we found just 19 studies that tested the effects of 'inert' ingredients on bee health. In these studies, 'inert' ingredients were found to cause mortality in bees through multiple exposure routes, act synergistically with other stressors and cause colony level effects. This lack of research is compounded by a lack of diversity in study organism used. We argue that 'inert' ingredients have distinct, and poorly understood, ecological persistency profiles and toxicities, making research into their individual effects necessary. We highlight the lack of mitigation in place to protect bees from 'inert' ingredients and argue that research efforts should be redistributed to address the knowledge gap identified here. If so-called 'inert' ingredients are, in fact, detrimental to bee health, their potential role in widespread bee declines needs urgent assessment. © 2022 Royal Society Publishing. All rights reserved."
scopus2197,Guy,YES,Ernst W.R.; Doe K.G.,Comparison of the aquatic toxicity of fenitrothion flowable and fenitrothion liquid technical formulations,1989,Water pollution research journal of Canada,24,553,568,,"Fenitrothion, a popular spruce budworm (Choristoneura fumiferarna) insecticide, has recently been produced as a 'flowable' formulation which consists of finely milled particles of the active ingredient in suspension. In order to determine if such a formulation change could alter the chemical's toxicity and bioconcentration potential to non-target aquatic fauna, a series of bioassays was undertaken. In acute (48- and 96-h LC50s) tests using rainbow trout (Oncorhynchus mykiss), threespine stickleback (Gasterosteus aculeatus), freshwater clams (Anodonta spp.), blue mussels (Mytilus edulis) and the water flea (Daphnia magna), the toxicity of conventional fenitrothion (liquid technical) formulations was not substantially different from that of the 'flowable' (particulate) formulation. The results indicate that the flowable formulation does not represent an increased hazard to the aquatic organisms tested, compared with the conventional liquid technical formulations."
scopus2208,Guy,NO,Malkomes H.-P.,Comparison of the effects of differently formulated herbicides on soil microbial activities - A review; [Vergleich des einflusses unterschiedlich formulierter herbizide auf mikrobielle aktivitaten im boden - Eine bestandsaufnahme],2000,Zeitschrift fur Pflanzenkrankheiten und Pflanzenschutz,107,781,789,,"In literature only few references could be found on the effects on microbial activities in soil and in vitro of differently formulated herbicides with the same active ingredient. Nevertheless the effects on soil microorganisms of one active ingredient or its formulated preparation often were thought to exist also with other products containing the same active ingredient, but its scientific background still has to be proofed. From some mostly older herbicides like atrazine, barban, 2,4-D, dichlorprop, dinoseb, DNOC, glyphosate, metamitron and paraquat, however, it can be seen that the effects of active ingredients and its formulated preparations as well as those between several preparations may differ. This especially occurs when higher dosages or stronger biocidal compounds were used. Even the formulation additives of pesticides themselves affected soil microorganisms in some cases and, therefore, modified pesticide effects, but only few references are available. Therefore, a marked research deficit can be ascertained in this special part of ecotoxicology."
scopus2240,Guy,NO,de Araújo-Ramos A.T.; Passoni M.T.; Romano M.A.; Romano R.M.; Martino-Andrade A.J.,Controversies on Endocrine and Reproductive Effects of Glyphosate and Glyphosate-Based Herbicides: A Mini-Review,2021,Frontiers in Endocrinology,12,,,10.3389/fendo.2021.627210,"Glyphosate-based herbicides (GBHs) are among the most used pesticides worldwide, presenting high potential for human exposure. Recently, a debate was raised on glyphosate risks to human health due to conflicting views over its potential carcinogenic and endocrine disruptive properties. Results from regulatory guideline studies, reports from Regulatory Agencies, and some literature studies point to a lack of endocrine disrupting properties of the active ingredient glyphosate. On the other hand, many in vivo and in vitro studies, using different experimental model systems, have demonstrated that GBHs can disrupt certain hormonal signaling pathways with impacts on the hypothalamic-pituitary-gonadal axis and other organ systems. Importantly, several studies showed that technical-grade glyphosate is less toxic than formulated GBHs, indicating that the mixture of the active ingredient and formulants can have cumulative effects on endocrine and reproductive endpoints, which requires special attention from Regulatory Agencies. In this mini-review, we discuss the controversies related to endocrine-disrupting properties of technical-grade glyphosate and GBHs emphasizing the reproductive system and its implications for human health. © Copyright © 2021 de Araújo-Ramos, Passoni, Romano, Romano and Martino-Andrade."
scopus2250,Guy,NO,Helepciuc F.-E.; Todor A.,EU microbial pest control: A revolution in waiting,2022,Pest Management Science,78,1314,1325,10.1002/ps.6721,"Recent evaluations of the microbial biological control sector indicate that implementing microbial control of pests is still slow in the EU. The top causal factors are the lengthy, expensive, and cumbersome two-stage procedure for approval of biological agents as active substances at the EU level and authorization of formulated products at the national level, limited funding, lack of EU level integrated approaches, and slow implementation of integrated pest management. This article contributes to a better understanding of the factors that limit microbial control of pests in EU agriculture by providing the first evaluation of the evolution of microbial biological control agent (MBCA) EU-level approval combined with that of microbial biological control product (MBCP) national-level authorization, discusses recent trends in research and offers some policy recommendations. By 2020, the EU had caught up with the USA regarding research output, approved MBCAs, and MBCA approval procedures (first stage). Despite improvements from 2014 to 2019, the number of authorized MBCPs (second stage) has progressed slowly and unevenly across the EU. Significant progress is concentrated in countries with more extensive agricultural land and higher research intensity. The EUʼs focus on promoting more sustainable agriculture by increasing the availability of low-risk pesticides of biological origin as alternatives to conventional chemical pesticides has gained traction in recent years. Nevertheless, more efforts to improve the capacity and expertise of laggard EU Member States to contribute to the approval of MBCA, authorization of MBCP, and stimulating market availability are needed. Furthermore, we recommend introducing more concrete measures to promote the adoption of the microbial control of pests in the National Action Plans for the sustainable use of pesticides. © 2021 Society of Chemical Industry. © 2021 Society of Chemical Industry."
scopus2314,Guy,NO,Mullin C.A.; Fine J.D.; Reynolds R.D.; Frazier M.T.,Toxicological Risks of Agrochemical Spray Adjuvants: Organosilicone Surfactants May Not Be Safe,2016,Frontiers in Public Health,4,,,10.3389/fpubh.2016.00092,"Agrochemical risk assessment that takes into account only pesticide active ingredients without the spray adjuvants commonly used in their application will miss important toxicity outcomes detrimental to non-target species, including humans. Lack of disclosure of adjuvant and formulation ingredients coupled with a lack of adequate analytical methods constrains the assessment of total chemical load on beneficial organisms and the environment. Adjuvants generally enhance the pesticidal efficacy and inadvertently the non-target effects of the active ingredient. Spray adjuvants are largely assumed to be biologically inert and are not registered by the USA EPA, leaving their regulation and monitoring to individual states. Organosilicone surfactants are the most potent adjuvants and super-penetrants available to growers. Based on the data for agrochemical applications to almonds from California Department of Pesticide Regulation, there has been increasing use of adjuvants, particularly organosilicone surfactants, during bloom when two-thirds of USA honey bee colonies are present. Increased tank mixing of these with ergosterol biosynthesis inhibitors and other fungicides and with insect growth regulator insecticides may be associated with recent USA honey bee declines. This database archives every application of a spray tank adjuvant with detail that is unprecedented globally. Organosilicone surfactants are good stand alone pesticides, toxic to bees, and are also present in drug and personal care products, particularly shampoos, and thus represent an important component of the chemical landscape to which pollinators and humans are exposed. This mini review is the first to possibly link spray adjuvant use with declining health of honey bee populations. Copyright © 2016 Mullin, Fine, Reynolds and Frazier."
scopus2396,Guy,maybe,Dabney B.L.; Patiño R.,"Low-dose stimulation of growth of the harmful alga, Prymnesium parvum, by glyphosate and glyphosate-based herbicides",2018,Harmful Algae,80,130,139,10.1016/j.hal.2018.11.004,"Glyphosate-based herbicides (GBH) are widely used around the globe. While generally toxic to phototrophs, organic phosphorus in glyphosate can become available to glyphosate-resistant phytoplankton and contribute to algal bloom development. Few studies have examined the effects of GBH on growth of eukaryotic microalgae and information for the toxic bloom-forming haptophyte, Prymnesium parvum, is limited. Using a batch-culture system, this study examined the effects on P. parvum growth of a single application of Roundup Weed and Grass Killer Super Concentrate Plus® (Roundup SC), Roundup Weed and Grass Killer Ready-to-Use III® (Roundup RtU), and technical-grade glyphosate at low concentrations [0–1000 μg glyphosate acid equivalent (ae) l−1]. Roundup formulations differ in the percent of glyphosate as active ingredient (Roundup SC, ∼50%; Roundup RtU, 2%), allowing indirect evaluation of the influence of inactive ingredients. Roundup SC enhanced exponential growth rate at 10–1000 μg glyphosate ae l−1, and a positive monotonic association was noted between Roundup SC concentration and early (pre-exponential growth) but not maximum cell density. Glyphosate and both Roundup formulations enhanced growth rate at 100 μg glyphosate l−1, but only Roundup SC and glyphosate significantly stimulated early and maximum density. This observation suggests the higher concentration of inactive ingredients and other compounds in Roundup RtU partially counteracts glyphosate-dependent growth stimulation. When phosphate concentration was varied while maintaining other conditions constant, addition of Roundup SC and glyphosate at 100 μg l−1 influenced growth more strongly than equivalent changes in phosphate-associated phosphorus. It appears, therefore, that low doses of glyphosate stimulate growth by mechanisms unrelated to the associated small increases in total phosphorus. In conclusion, glyphosate and GBH stimulate P. parvum growth at low, environmentally relevant concentrations. This finding raises concerns about the potential contribution to P. parvum blooms by glyphosate-contaminated runoff or by direct application of GBH to aquatic environments. © 2018"
scopus2442,Guy,YES,de Ávila R.I.; Carreira Santos S.; Siino V.; Levander F.; Lindstedt M.; Zeller K.S.,"A proteomics dataset capturing myeloid cell responses upon cellular exposure to fungicides, adjuvants and fungicide formulations",2023,Data in Brief,46,,,10.1016/j.dib.2022.108878,"Dendritic cells are the sentinels of the immune system, linking the innate and adaptive immune response. Myeloid and dendritic cell models have been successfully used in in vitro approaches to predict adverse outcomes such as skin sensitization. We here exposed a well-characterized human dendritic cell-like cell line to agricultural chemicals, including fungicide formulations, active ingredients, adjuvants and defined mixtures for 24 h to profile induced changes on protein levels. Cell pellets were harvested and prepared for bottom-up label-free analysis with peptide separation on an EASY-nano LC system 1200 coupled online with a QExactive HF-X mass spectrometer with data-dependent acquisition (DDA). The raw data files and processed quantitative data have been deposited to ProteomeXchange with the data identification number PXD034624 and are described here. The data in this article may serve as a resource for researchers interested in e.g. human toxicology, immunology, cell biology and pharmacology. © 2023 The Author(s)"
scopus2466,Guy,NO,Carmichael N.G.,Toxicity of agrochemical formulations,2005,"Scandinavian Journal of Work, Environment and Health",31,146,150,,"Most agrochemicals have physicochemical properties that make it impractical to apply them directly to crops and other targets. It is necessary to provide a concentrate of the active ingredient, to which formulation agents have been added to allow dilution with water for spraying. These ingredients perform several functions, including emulsifying, solubilizing, antifoaming, and the like. The properties of these materials are not intended to include pesticidal activity. However, some of these materials may have intrinsic toxicologic properties that should be taken into account in an overall evaluation of the safety of the product. In agriculture, exposure to these materials is sporadic and seasonal. The testing of the complete formulation is based on the evaluation of this risk, and it is concentrated on the evaluation of the short-term exposure to the concentrated product. Many of these substances are rather banal and are generally regarded as safe. Exceptions to this rule do exist, particularly concerning solvents; in such cases a fuller data package is necessary to perform risk assessment."
scopus2495,Guy,NO,Lepeshkin I.V.; Mudryǐ I.V.,Effects of the components of pesticides on the toxicity of their formulations,2008,Gigiena i sanitariia,,19,23,,"In addition to active ingredients, the currently available pesticides comprise solvents and emulsifiers, and dispersants whose content may be as high as 85 and 30%, respectively. These components can have a substantially high effect on the toxicity and toxic kinetics of formulations, which shows a potentiating effect in many cases. From the hygienic, toxicological, and ecological points of view, it is necessary to continue studies into the combined effect of the components and active ingredients of formulations on the body and into their effect on the behavior of the latter in the environmental objects."
scopus2572,Guy,NO,Omelchuk S.; Syrota A.; Vavrinevych O.; Blagaia A.; Lisovska V.; Reshavska O.,Experimental study on the carcinogenic effects of pesticides with ascertained carcinogenic activity under the conditions of its simultaneous influence on the organism of laboratory animals,2018,"Wiadomosci lekarskie (Warsaw, Poland : 1960)",71,1274,1280,,"OBJECTIVE: Introduction: It is known that pesticides have both short-term and long-term effects of the action on the human body. Today, taking into account the growth rate of the agricultural crops protection means' market and the expansion of the range of pesticide mixtures and combined formulations, there is a need for a more in-depth study of its possible effects on the environment and the human body. Recently, a new fungicide containing a mixture of two active substances, benthiavalicarb isopropyl and folpet, was introduced for application in Ukraine. Considering the possible influence of both substances on the enzyme systems involved in the xenobiotic metabolism, potentiation of its carcinogenic action in the formulation can be expected. No genotoxic effect was revealed studying in vivo studies the mutagenic activity of both substances isolated. Therefore, both substances are epigenetic carcinogens with a promoter threshold mechanism of action. In this regard, the promoter action of these substances was studied by us in the mid-term test on a multi-organ model. The aim: The purpose of our work was an experimental study of the carcinogenic action of benthiavalicarb-isopropyl and folpet - substances with ascertained carcinogenic activity, under the conditions of its simultaneous influence on the organism of laboratory animals (rats and mice). PATIENTS AND METHODS: Materials and methods: Toxicological, toxicometric (weight of animals, absolute, relative mass of internal organs) histological, microscopic, histochemical, and statistical methods were used in the study. RESULTS: Results and conclusions: No combined action of folpet and benthiavalicarb-isopropyl on the proliferation of carcinogen-transformed hepatocytes and the formation of hyperplastic nodules expressing γ-glutamyltranspeptidases (γ-GTP) as markers of pre-tumor changes in hepatocarcinogenesis was revealed. This allows us to conclude that there is no modifying effect of the folpet on carcinogenicity."
scopus2687,Guy,YES,Demir E.; Kansız S.; Doğan M.; Topel Ö.; Akkoyunlu G.; Kandur M.Y.; Turna Demir F.,"Hazard Assessment of the Effects of Acute and Chronic Exposure to Permethrin, Copper Hydroxide, Acephate, and Validamycin Nanopesticides on the Physiology of Drosophila: Novel Insights into the Cellular Internalization and Biological Effects",2022,International Journal of Molecular Sciences,23,,,10.3390/ijms23169121,"New insights into the interactions between nanopesticides and edible plants are required in order to elucidate their impacts on human health and agriculture. Nanopesticides include formulations consisting of organic/inorganic nanoparticles. Drosophila melanogaster has become a powerful model in genetic research thanks to its genetic similarity to mammals. This project mainly aimed to generate new evidence for the toxic/genotoxic properties of different nanopesticides (a nanoemulsion (permethrin nanopesticides, 20 ± 5 nm), an inorganic nanoparticle as an active ingredient (copper(II) hydroxide [Cu(OH)2] nanopesticides, 15 ± 6 nm), a polymer-based nanopesticide (acephate nanopesticides, 55 ± 25 nm), and an inorganic nanoparticle associated with an organic active ingredient (validamycin nanopesticides, 1177 ± 220 nm)) and their microparticulate forms (i.e., permethrin, copper(II) sulfate pentahydrate (CuSO4·5H2O), acephate, and validamycin) widely used against agricultural pests, while also showing the merits of using Drosophila—a non-target in vivo eukaryotic model organism—in nanogenotoxicology studies. Significant biological effects were noted at the highest doses of permethrin (0.06 and 0.1 mM), permethrin nanopesticides (1 and 2.5 mM), CuSO4·5H2O (1 and 5 mM), acephate and acephate nanopesticides (1 and 5 mM, respectively), and validamycin and validamycin nanopesticides (1 and 2.5 mM, respectively). The results demonstrating the toxic/genotoxic potential of these nanopesticides through their impact on cellular internalization and gene expression represent significant contributions to future nanogenotoxicology studies. © 2022 by the authors."
scopus2691,Guy,YES,Schmuck R.; Pflüger W.; Grau R.; Hollihn U.; Fischer R.,Comparison of short-term aquatic toxicity: Formulation vs active ingredients of pesticides,1994,Archives of Environmental Contamination and Toxicology,26,240,250,10.1007/BF00224811,"EC50 values for algae and water fleas and LC50 values for fish of formulated pesticide products from standardized short term toxicity tests have been compared with the corresponding values of the respective active ingredients (AI). The results suggest that toxicity tests conducted with the technical material will provide adequate information for estimating toxicological hazard of formulations to aquatic organisms. A preliminary hazard assessment performed by using the toxicity of the technical grade material divided by a species and formulation related factor of extrapolation uncertainty would allow a hazard assessment for the formulation with a high degree of reliability. Based on the presented data, this factor could be as low as 5 for green algae, 10 for water fleas, and 5 for fish without an unreasonable risk (2% or less) of substantially increased, environmentally relevant formulation toxicity. Such an approach would save considerable numbers of test animals and also allow improvement of formulations without unnecessary or even economically prohibitive replications of numerous tests. © 1994 Springer-Verlag New York Inc."
scopus2781,Guy,YES,Mörtl M.; Vehovszky Á.; Klátyik S.; Takács E.; Győri J.; Székács A.,"Neonicotinoids: Spreading, translocation and aquatic toxicity",2020,International Journal of Environmental Research and Public Health,17,,,10.3390/ijerph17062006,"Various environmental and ecotoxicological aspects related to applications of neonicotinoid insecticides are assessed. Dosages of neonicotinoids applied in seed coating materials were determined and are compared to other applications (spray and granule). Environmental levels in soils and affecting factors in translocation are discussed. Excretion of neonicotinoids via guttation from coated maize seeds up to two months upon emergence, as well as cross-contamination of plants emerged from non-coated seeds or weeds nearby have been demonstrated. Contamination of surface waters is discussed in scope of a worldwide review and the environmental fate of the neonicotinoid active ingredients and the formulating surfactant appeared to be mutually affected by each other. Toxicity of neonicotinoid active ingredients and formulations on Daphnia magna completed with some investigations of activity of the detoxifying glutathione S-transferase enzyme demonstrated the modified toxicity due to the formulating agents. Electrophysiological results on identified central neurons of the terrestrial snail Helix pomatia showed acetylcholine antagonist (inhibitory) effects of neonicotinoid insecticide products, but no agonist (ACh-like) effects were recorded. These data also suggested different molecular targets (nicotinergic acetylcholine receptors and acetylcholine esterase enzyme) of neonicotinoids in the snail central nervous system. © 2020 by the authors. Licensee MDPI, Basel, Switzerland."
scopus2782,Guy,NO,Heller S.; Fine J.; Phan N.T.; Rajotte E.G.; Biddinger D.J.; Joshi N.K.,Toxicity of Formulated Systemic Insecticides Used in Apple Orchard Pest Management Programs to the Honey Bee (Apis mellifera (L.)),2022,Environments - MDPI,9,,,10.3390/environments9070090,"Honey bees (Apis mellifera) are one of the most important pollinating species of flowering plants. Recently, populations of honey bees have been declining due to a combination of factors, including the widespread use of agricultural pesticides. Laboratory studies were conducted to determine the acute oral toxicity of different formulated pesticides to honey bee adults. In particular, we assessed the acute oral toxicity of two neonicotinoids (acetamiprid, Assail 30SG and thiamethoxam, Actara 25WDG) and two other systemic insecticide products (sulfoxaflor, Closer 2SC and flupyradifurone, Sivanto 200SL), all of which are generally used in pest management programs in commercial apple orchards in the Eastern United States. Honey bees were fed a range of doses of each pesticide in order to create a response curve, and LC50, LC90, and LD50 values were determined. The pesticide formulation containing flupyradifurone as the active ingredient was found to be the least toxic to honey bees followed by the formulations containing sulfoxaflor and acetamiprid. The toxicity values obtained in this study differ from other studies testing only technical active ingredient compounds, suggesting the need to evaluate formulated products while conducting ecotoxicological risk assessment. © 2022 by the authors."
scopus2919,Guy,YES,Fine J.D.; Mullin C.A.; Frazier M.T.; Reynolds R.D.,Field Residues and Effects of the Insect Growth Regulator Novaluron and Its Major Co-Formulant N -Methyl-2-Pyrrolidone on Honey Bee Reproduction and Development,2017,Journal of Economic Entomology,110,1993,2001,10.1093/jee/tox220,"Owing to the recent declines in honey bee (Apis mellifera L.) populations, there is a need for field and laboratory studies to investigate threats to pollinator health. This study examines the hypothesis that the organophosphate alternative, Rimon 0.83EC, can have consequences to honey bee health by combining newly acquired field residue data, laboratory bioassays, and colony level feeding studies. Following label rate applications of Rimon 0.83EC to apple trees, average residue concentrations of the active ingredient, novaluron, were found to be 3.38 ppm in tree-collected pollen. Residues of the major co-formulant in Rimon 0.83EC, N-methyl-2-pyrrolidone (NMP), were below the limit of detection in the field, but a growth chamber study described here found that NMP can persist in pollen for up to 7 d with average concentrations of 69.3 ppm. Concurrent larval rearing studies found novaluron and NMP to be toxic to developing honey bees at doses as low as 100 ppb and 100 ppm, respectively. Nucleus colony feeding studies found that chronic exposure to Rimon 0.83EC at doses as low as 200 ppm (18.6 ppm novaluron) can result in interruptions to brood production that can last for up to 2 wk after exposure. Taken together, these data indicate the use of Rimon 0.83EC on blooming flowers is a significant threat to honey bee reproduction, and suggest the need for more strict and clear usage guidelines. © The Author 2017. Published by Oxford University Press on behalf of Entomological Society of America. All rights reserved. For Permissions, please email: journals.permissions@oup.com."
scopus3315,Guy,NO,Van Cott A.; Hastings C.E.; Landsiedel R.; Kolle S.; Stinchcombe S.,GHS additivity formula: can it predict the acute systemic toxicity of agrochemical formulations that contain acutely toxic ingredients?,2018,Regulatory Toxicology and Pharmacology,92,407,419,10.1016/j.yrtph.2017.12.024,"In vivo acute systemic testing is a regulatory requirement for agrochemical formulations. GHS specifies an alternative computational approach (GHS additivity formula) for calculating the acute toxicity of mixtures. We collected acute systemic toxicity data from formulations that contained one of several acutely-toxic active ingredients. The resulting acute data set includes 210 formulations tested for oral toxicity, 128 formulations tested for inhalation toxicity and 31 formulations tested for dermal toxicity. The GHS additivity formula was applied to each of these formulations and compared with the experimental in vivo result. In the acute oral assay, the GHS additivity formula misclassified 110 formulations using the GHS classification criteria (48% accuracy) and 119 formulations using the USEPA classification criteria (43% accuracy). With acute inhalation, the GHS additivity formula misclassified 50 formulations using the GHS classification criteria (61% accuracy) and 34 formulations using the USEPA classification criteria (73% accuracy). For acute dermal toxicity, the GHS additivity formula misclassified 16 formulations using the GHS classification criteria (48% accuracy) and 20 formulations using the USEPA classification criteria (36% accuracy). This data indicates the acute systemic toxicity of many formulations is not the sum of the ingredients’ toxicity (additivity); but rather, ingredients in a formulation can interact to result in lower or higher toxicity than predicted by the GHS additivity formula. © 2018 Elsevier Inc."
scopus3338,Guy,YES,Zhang X.; Xu Z.; Wu M.; Qian X.; Lin D.; Zhang H.; Tang J.; Zeng T.; Yao W.; Filser J.; Li L.; Sharma V.K.,Potential environmental risks of nanopesticides: Application of Cu(OH)2 nanopesticides to soil mitigates the degradation of neonicotinoid thiacloprid,2019,Environment International,129,42,50,10.1016/j.envint.2019.05.022,"Cu(OH)2 nanopesticides and organic insecticides are continuously applied to soil at a temporal interval, while knowledge about the impact of Cu(OH)2 nanopesticides on organic insecticides degradation is currently scarce, resulting in poorly comprehensive evaluation of the potential environmental risks of Cu(OH)2 nanopesticides. Herein, a commercial Cu(OH)2 nanopesticide formulation (NPF), the active ingredient of NPF (AI-NPF), the prepared Cu(OH)2 nanotubes (NT) with comparable morphology and size to AI-NPF, and CuSO4 were respectively applied to soil at normal doses (0.5, 5 and 50 mg/kg), followed by an application of neonicotinoid thiacloprid after an interval of 21 d, showing that NPF at doses of 5 and 50 mg/kg significantly (p < 0.05) mitigated thiacloprid degradation compared to control and CuSO4. Furthermore, AI-NPF was the primary component that contributed to the mitigation effect of NPF, which was also validated by the NT. Large differences in the degradation efficiency of thiacloprid in sterilized and unsterilized soils with Cu(OH)2 nanopesticides suggested that biodegradation was the primary process responsible for thiacloprid degradation, especially as chemical degradation was negligible. Besides a decrease of thiacloprid bioavailability due to adsorption by Cu(OH)2 nanopesticides, we demonstrated that Cu(OH)2 nanopesticides changed soil microbial communities, reduced nitrile hydratase activity and down-regulated thiacloprid-degradative nth gene abundance, which thus mitigated thiacloprid biodegradation. Clearly, this study shed light on the potential environmental risks of Cu(OH)2 nanopesticide. © 2019 The Authors"
scopus3472,Guy,NO,Schell T.; Goedkoop W.; Zubrod J.P.; Feckler A.; Lüderwald S.; Schulz R.; Bundschuh M.,Assessing the effects of field-relevant pesticide mixtures for their compliance with the concentration addition model – An experimental approach with Daphnia magna,2018,Science of the Total Environment,644,342,349,10.1016/j.scitotenv.2018.06.334,"The environmental risk assessment of pesticides is mainly performed on individual active ingredients. In surface waters within the agricultural landscape, however, contamination is usually characterized by complex pesticide mixtures. To estimate the joint effects caused by these complex mixtures, mathematical models have been proposed. Among these, the model of concentration addition (CA) is suggested as default model for the risk assessment of chemical mixtures as it is considered protective for mixtures composed of similar and dissimilar acting substances. Here we assessed the suitability of CA predictions for seven field relevant pesticide mixtures using acute (immobility) and chronic (reproduction) responses of the standard test species Daphnia magna. Pesticide mixtures indicated largely additive or less than additive effects when using CA model predictions as a reference. Moreover, we revealed that deviations from CA predictions are lower for chronic (up to 3.2-fold) relative to acute (up to 7.2-fold) response variables. Additionally, CA predictions were in general more accurate for complex mixtures relative to those composed of only a few pesticides. Thus, this study suggests CA models as largely protective for the risk assessment of pesticide mixtures justifying its use as default model. At the same time, extrapolating conclusions about the joint effects of pesticides from acute to chronic responses is uncertain, due to partly large discrepancies with regards to the deviation of model prediction and observed effects between exposure scenarios. © 2018 Elsevier B.V."
