"DATA_ID","STUDY_ID","AI_NAME","AI_50","AI_50_TYPE","AI_ERROR_LOWER","AI_ERROR_HIGHER","AI_ERROR_TYPE","AI_N_CONTAINER","AI_N_INDIVIDUALS_PER_CONTAINER","AI_N_STRUCTURE","FORM_NAME","FORM_50","FORM_50_TYPE","FORM_ERROR_LOWER","FORM_ERROR_HIGHER","FORM_ERROR_TYPE","FORM_N_CONTAINER","FORM_N_INDIVIDUALS_PER_CONTAINER","FORM_N_STRUCTURE","CI_METHOD","COMMON_CONTROL","MULTIPLE_MEASUREMENT","SPECIES_NAME_BINOMIAL","SPECIES_NAME_COMMON","STRAIN_CLONE_SOURCE","SPECIES_CLASS","SPECIES_PHYLUM","SPECIES_KINGDOM","ECOSYSTEM","LIFE_STAGE","EXPOSURE_DURATION_HOURS","PESTICIDE_CLASS","NANO_FORMULATION","SEX","EXPOSURE_ROUTE","ACUTE_CHRONIC_TOXICITY","TEMPERATURE_.C","PH","FEEDING_STATE","AGE_TEST_ORGANISM_HOURS","REGULATORY_STANDARDISED_GUIDELINES_FOLLOWED","WATER_HARDNESS_mg_L_Ca_CO3","SE_SIMULATION_REQUIRED","FORMULATION_TYPE","FORMULATION_EXPRESSED_IN_AI_CONC","FORMULATION_VALUE_ADJUSTED","YEAR_PUBLISHED","NOTES"
342,"wos2172","glyphosate-IPA",466,"LC50","n/a","n/a","n/a",4,5,"4 containers, 5 individuals","Roundup",3.6,"LC50","0.3","0.5","CI_95",4,5,"4 containers, 5 individuals","Spearman-Karber","wos2172_i","wos2172_7","Crinia insignifera","n/a","Perth","Amphibia","Chordata","Animalia","Aquatic/Terrestrial","larvae",48,"herbicide","NO","n/a","environmental","acute","20","n/a","starved","25 (gosner stage)","YES","44","YES","soluble concentrate","YES","n/a",1999,"soft water"
343,"wos2172","glyphosate-IPA",400,"LC50","n/a","n/a","n/a",4,5,"4 containers, 5 individuals","Roundup",4.6,"LC50","0.5","0.6","CI_95",4,5,"4 containers, 5 individuals","Spearman-Karber","wos2172_j","wos2172_8","Lymnodynastes dorsalis","n/a","Perth","Amphibia","Chordata","Animalia","Aquatic/Terrestrial","larvae",24,"herbicide","NO","n/a","environmental","acute","20","n/a","starved","25 (gosner stage)","YES","44","YES","soluble concentrate","YES","n/a",1999,"soft water"
344,"wos2172","glyphosate-IPA",400,"LC50","n/a","n/a","n/a",4,5,"4 containers, 5 individuals","Roundup",3,"LC50","0.2","0.2","CI_95",4,5,"4 containers, 5 individuals","Spearman-Karber","wos2172_k","wos2172_8","Lymnodynastes dorsalis","n/a","Perth","Amphibia","Chordata","Animalia","Aquatic/Terrestrial","larvae",48,"herbicide","NO","n/a","environmental","acute","20","n/a","starved","25 (gosner stage)","YES","44","YES","soluble concentrate","YES","n/a",1999,"soft water"
345,"wos2172","glyphosate-IPA",400,"LC50","n/a","n/a","n/a",4,5,"4 containers, 5 individuals","Roundup Biactive",400,"LC50","n/a","n/a","n/a",4,5,"4 containers, 5 individuals","Spearman-Karber","wos2172_j","wos2172_9","Lymnodynastes dorsalis","n/a","Perth","Amphibia","Chordata","Animalia","Aquatic/Terrestrial","larvae",24,"herbicide","NO","n/a","environmental","acute","20","n/a","starved","25 (gosner stage)","YES","44","YES","soluble concentrate","YES","n/a",1999,"soft water"
346,"wos2172","glyphosate-IPA",400,"LC50","n/a","n/a","n/a",4,5,"4 containers, 5 individuals","Roundup Biactive",400,"LC50","n/a","n/a","n/a",4,5,"4 containers, 5 individuals","Spearman-Karber","wos2172_k","wos2172_9","Lymnodynastes dorsalis","n/a","Perth","Amphibia","Chordata","Animalia","Aquatic/Terrestrial","larvae",48,"herbicide","NO","n/a","environmental","acute","20","n/a","starved","25 (gosner stage)","YES","44","YES","soluble concentrate","YES","n/a",1999,"soft water"
364,"wos67","glyphosate",2000,"EC50","n/a","n/a","n/a",4,5,"4 containers, 5 individuals","Spasor",307,"EC50","8","8","CI_95",4,5,"4 containers, 5 individuals","probit","wos67_c","wos67_3","Daphnia magna","water flea","Clone A","Branchiopoda","Arthropoda","Animalia","Aquatic","neonate",48,"herbicide","NO","n/a","environmental","acute","20","n/a","n/a","24","YES","n/a","YES","n/a","YES","n/a",2009,"n/a"
368,"wos159","thiamethoxam",10,"LC50","n/a","n/a","n/a",4,10,"4 replicates, 10 individuals","Actara",10,"LC50","n/a","n/a","n/a",4,10,"4 replicates, 10 individuals","log-logistic","wos159_a","wos159_1","Eisenia andrei","n/a","University of Amsterdam","Clitellata ","Annelida ","Animalia","Terrestrial","adult",672,"insecticide","NO","n/a","environmental","chronic","20","n/a","fed","1440","YES","n/a","YES","wettable powder","YES","n/a",2020,"n/a"
370,"wos159","thiacloprid",8,"LC50","n/a","n/a","n/a",4,10,"4 replicates, 10 individuals","Calypso",7,"LC50","0.5","0.5","CI_95",4,10,"4 replicates, 10 individuals","log-logistic","wos159_c","wos159_3","Eisenia andrei","n/a","University of Amsterdam","Clitellata ","Annelida ","Animalia","Terrestrial","adult",672,"insecticide","NO","n/a","environmental","chronic","20","n/a","fed","1440","YES","n/a","NO","Aqueous suspension concentrates","YES","n/a",2020,"no reliable CI could be generated."
415,"scopus1462","glyphosate",17.9,"LC50","n/a","n/a","n/a",3,20,"3 replicates, 20 individuals","Glyfos AU",9,"LC50","0.3","0.4","CI_95",3,20,"3 replicates, 20 individuals","Trimmed Spearman–Karber","scopus1462_a","scopus1462_1","R. clamitans","n/a","Otonabee River","Amphibia","Chordata","Animalia","Aquatic/Terrestrial","larvae",24,"herbicide","NO","n/a","environmental","acute","20","n/a","fed","n/a","NO","n/a","YES","soluble concentrate","YES","n/a",2004,"glyphosate vs Roundup Biactive, Touchdown and Glyfos Bio were discounted as they were all >17.9 and only 4 concentrations were tested. Impossible to know as concentrations tested weren't listed but assumed 3 orders of magnitude were not tested. No range finding performed."
416,"scopus1462","glyphosate",17.9,"LC50","n/a","n/a","n/a",3,20,"3 replicates, 20 individuals","Roundup Transorb",2.3,"LC50","0.1","0.1","CI_95",3,20,"3 replicates, 20 individuals","Trimmed Spearman–Karber","scopus1462_a","scopus1462_2","R. clamitans","n/a","Otonabee River","Amphibia","Chordata","Animalia","Aquatic/Terrestrial","larvae",24,"herbicide","NO","n/a","environmental","acute","20","n/a","fed","n/a","NO","n/a","YES","soluble concentrate","YES","n/a",2004,"n/a"
417,"scopus1462","glyphosate",17.9,"LC50","n/a","n/a","n/a",3,20,"3 replicates, 20 individuals","Glyfos AU",8.9,"LC50","0.3","0.3","CI_95",3,20,"3 replicates, 20 individuals","Trimmed Spearman–Karber","scopus1462_b","scopus1462_1","R. clamitans","n/a","Otonabee River","Amphibia","Chordata","Animalia","Aquatic/Terrestrial","larvae",96,"herbicide","NO","n/a","environmental","acute","20","n/a","fed","n/a","NO","n/a","YES","soluble concentrate","YES","n/a",2004,"n/a"
418,"scopus1462","glyphosate",17.9,"LC50","n/a","n/a","n/a",3,20,"3 replicates, 20 individuals","Glyfos AU",2.2,"LC50","0.1","0.2","CI_95",3,20,"3 replicates, 20 individuals","Trimmed Spearman–Karber","scopus1462_b","scopus1462_2","R. clamitans","n/a","Otonabee River","Amphibia","Chordata","Animalia","Aquatic/Terrestrial","larvae",96,"herbicide","NO","n/a","environmental","acute","20","n/a","fed","n/a","NO","n/a","YES","soluble concentrate","YES","n/a",2004,"n/a"
432,"scopus3713","diazinon",0.436774,"LC50","0.054097","0.054097","SE",2,15,"2 replicates, 15 individuals each","Knox Out 2 FM",0.49,"LC50","n/a","n/a","n/a",2,15,"2 replicates, 15 individuals each","three parameter logistic","scopus3713_g","scopus3713_7","Pimephales promelas","fathead minnow","Environmental Research Laboratory-Duluth Fish Culture Unit","Teleostei ","Chordata","Animalia","Aquatic","larvae",768,"insecticide","NO","n/a","environmental","chronic","25","7.6","fed","n/a","YES","45.8","YES","Aqueous capsule suspensions","YES","n/a",1982,"chlorpyrifos chronic was excluded as no effect for either and very narrow concentration range tested. Calculated LC50 and SE myself for chronic data."
452,"nagyrefs30","resmethrin",2,"LC50","n/a","n/a","n/a",3,10,"3 replicates, 10 individuals per replicate","Scourge",0.3582,"LC50","0.1098","0.1566","CI_95",3,10,"3 replicates, 10 individuals per replicate","Spearman-Karber","nagyrefs30_c","nagyrefs30_2","Palaemonetes pugio","n/a","North Edisto River","Malacostraca","Arthropoda","Animalia","Aquatic","larvae",24,"insecticide","NO","n/a","environmental","acute","25","n/a","n/a","n/a","NO","n/a","YES","ready to use","NO","YES",2005,"n/a"
466,"scopus144","prosulfocarb",1200,"LC50","n/a","n/a","n/a",3,5,"3 replicates, 5 individuals","Filon",470.593,"LC50","15.774","15.774","SE",3,10,"3 replicates, 10 individuals per replicate","two parameter logistic","scopus144_d","scopus144_4","Eisenia andrei","n/a","n/a","Clitellata ","Annelida ","Animalia","Terrestrial","adult",48,"herbicide","NO","n/a","environmental","acute","20","n/a","starved","n/a","YES","n/a","YES","Emulsifiable concentrate","YES","n/a",2023,"n/a"
